,State,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014",Economic_typology_2015,POP_ESTIMATE_2014,R_birth_2014,R_death_2014,R_INTERNATIONAL_MIG_2014,R_DOMESTIC_MIG_2014,Civilian_labor_force_2014,Unemployment_rate_2014,Median_Household_Income_2014,PCTPOVALL_2014
287,CO,9.0,10.0,0.307,0.10300000000000001,0.175,0.39799999999999996,0.177,0.243,0.32,0.268,0.24,0.145,0.33899999999999997,0.43700000000000006,0.2959381044487428,0.3771760154738878,0.27079303675048355,5.0,719,0.0056417489422000006,0.0014104372355000002,0.0,0.021156558532999997,477.0,0.052000000000000005,40006.0,0.155
516,GA,3.0,2.0,0.113,0.044000000000000004,0.022000000000000002,0.233,0.052000000000000005,0.051,0.32299999999999995,0.113,0.048,0.40700000000000003,0.17,0.054000000000000006,0.41450948062654575,0.17724649629018965,0.09596042868920034,2.0,8354,0.0091459793325,0.011996674189,0.0007126737142000001,-0.01306568476,2999.0,0.11199999999999999,36886.0,0.281
2502,TN,8.0,6.0,0.17600000000000002,0.023,0.024,0.287,0.048,0.05,0.37799999999999995,0.083,0.05,0.38,0.153,0.08,0.4476820111002285,0.22445315050603984,0.08178256611165527,4.0,16842,0.009007407407400001,0.011437037037,0.0,-0.00082962963,6473.0,0.086,33573.0,0.233
2731,TX,7.0,8.0,0.23199999999999998,0.076,0.064,0.31,0.122,0.09699999999999999,0.322,0.209,0.12300000000000001,0.294,0.22899999999999998,0.132,0.2850825320100786,0.29850362523782586,0.1418213606211755,3.0,32487,0.01502835103,0.007775404520800001,0.0015366412096000002,-0.01253899227,12909.0,0.063,40680.0,0.20600000000000002
1244,MI,5.0,8.0,0.35200000000000004,0.138,0.105,0.371,0.209,0.191,0.322,0.307,0.221,0.27899999999999997,0.353,0.261,0.2776442116324613,0.34781154966803063,0.3083414269110132,5.0,90796,0.01075369935,0.0090167335085,0.000254459964,0.0062951182409,48168.0,0.06,55592.0,0.09699999999999999
582,IL,3.0,2.0,0.258,0.049,0.034,0.297,0.105,0.068,0.314,0.205,0.078,0.34700000000000003,0.254,0.069,0.3357996585088219,0.32783153101878204,0.07740466704610133,4.0,7098,0.016353344049,0.011740862394,0.0002795443427,-0.021245370049999997,2560.0,0.105,30699.0,0.35600000000000004
1509,MO,7.0,11.0,0.34299999999999997,0.083,0.046,0.44299999999999995,0.09699999999999999,0.075,0.452,0.18100000000000002,0.083,0.479,0.23,0.09300000000000001,0.49752801582069867,0.2277521423862887,0.11964403427818059,1.0,8634,0.014175406246,0.013138181399,0.0002304944105,-0.012792439780000001,3988.0,0.066,37486.0,0.19
882,KS,9.0,10.0,0.389,0.11699999999999999,0.062,0.401,0.151,0.12,0.41200000000000003,0.231,0.136,0.397,0.278,0.196,0.33689567430025447,0.33231552162849876,0.24681933842239187,2.0,2683,0.010401188707,0.007057949479900001,0.0,-0.01077265973,1235.0,0.040999999999999995,47025.0,0.132
1958,NC,6.0,3.0,0.21899999999999997,0.068,0.054000000000000006,0.27,0.11199999999999999,0.08199999999999999,0.324,0.203,0.094,0.359,0.247,0.127,0.33292377373036514,0.3264912787896309,0.15635540136841092,0.0,60629,0.011068223806,0.010919767749000001,0.0007752705199,-0.000791765637,28499.0,0.06,41921.0,0.165
2230,PA,1.0,1.0,0.358,0.079,0.111,0.40399999999999997,0.121,0.165,0.35600000000000004,0.209,0.226,0.33899999999999997,0.24100000000000002,0.28300000000000003,0.3048302026145965,0.259426275100321,0.36939231677009376,0.0,1232896,0.010838728509,0.010931159317,0.0029667046389999997,-0.0029285972,646216.0,0.054000000000000006,52385.0,0.131
