,FIPS,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2010-2014","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014",Economic_typology_2015,POP_ESTIMATE_2014,R_birth_2014,R_death_2014,R_INTERNATIONAL_MIG_2014,R_DOMESTIC_MIG_2014,Civilian_labor_force_2014,Unemployment_rate_2014,Median_Household_Income_2014,Med_HH_Income_Percent_of_State_Total_2014,POVALL_2014,PCTPOVALL_2014
0,1001,AL,Autauga County,2.0,2.0,2.0,2.0,54.8,31.1,7.7,6.4,40.6,35.2,12.1,12.1,30.0,32.0,23.5,14.5,21.3,33.8,26.9,18.0,13.832693953026245,33.502608119669915,30.72337372008942,21.941324207214418,0.0,55290,11.293597274,9.1363933,0.3262997607,2.2659705605,25597.0,5.9,54366.0,126.7,7204.0,13.1
1,1003,AL,Baldwin County,4.0,5.0,3.0,2.0,59.4,26.7,7.4,6.5,39.7,33.7,14.5,12.1,26.8,31.8,24.6,16.8,18.0,29.6,29.3,23.1,10.966705936203262,28.815085505038756,31.593717874642635,28.62449068411535,5.0,199713,11.072867675,10.353587158,1.0738554196,19.243286504,86400.0,6.2,49626.0,115.6,25696.0,13.0
2,1005,AL,Barbour County,6.0,6.0,6.0,6.0,68.8,19.0,4.9,7.3,55.1,26.1,9.7,9.2,44.4,27.1,16.7,11.8,35.3,32.4,21.3,10.9,25.430027606710553,33.44659163304311,27.51645784667658,13.606922913569761,3.0,26815,9.6675838477,11.526734588,-0.07436603,-3.904216554,8849.0,10.6,34971.0,81.5,5943.0,25.4
3,1007,AL,Bibb County,1.0,1.0,1.0,1.0,73.1,19.4,3.3,4.2,59.5,29.6,6.1,4.9,48.2,33.8,13.2,4.7,36.8,35.7,20.4,7.1,22.10036345087037,40.062488044379265,27.596760823821974,10.240387680928393,0.0,22549,10.962916935,9.3650828876,0.9320698609,-0.177537116,8560.0,7.2,39546.0,92.1,3666.0,18.1
4,1009,AL,Blount County,1.0,1.0,1.0,1.0,70.5,22.7,4.1,2.7,53.9,32.4,8.4,5.3,39.5,34.7,18.8,7.0,29.6,36.0,24.8,9.6,21.937416777629824,34.495032264672744,31.304414626651646,12.263136331045784,0.0,57658,10.711314476,10.208679978,0.485302274,-2.062534664,24532.0,6.2,45567.0,106.2,10000.0,17.5
5,1011,AL,Bullock County,6.0,6.0,6.0,6.0,72.9,16.5,5.2,5.4,59.0,22.5,9.8,8.8,51.0,24.8,14.2,10.0,39.5,35.2,17.5,7.7,34.477550459975284,32.308114787862145,19.12673348894686,14.087601263215706,3.0,10829,10.998741669,9.2277578413,2.8894999301,14.354289975,4733.0,8.9,26580.0,61.9,3179.0,35.1
6,1013,AL,Butler County,6.0,6.0,6.0,6.0,70.5,20.7,4.2,4.6,55.0,28.8,8.1,8.2,47.2,29.1,15.6,8.0,32.2,34.5,22.9,10.4,23.41713553165729,37.13410725731786,25.126415497471687,14.322341713553167,0.0,20276,13.173150455,13.074475171,0.0986752843,1.0854281274,9272.0,8.6,32512.0,75.8,4988.0,25.0
7,1015,AL,Calhoun County,3.0,2.0,3.0,2.0,58.6,26.5,7.3,7.5,43.3,32.8,12.9,11.0,32.6,30.0,23.2,14.2,26.1,32.2,26.4,15.2,19.924491845373538,32.408760979826354,30.761310333430792,16.90543684136932,4.0,115993,11.652505934,12.099686973,0.550376664,-4.46321076,47240.0,8.0,41123.0,95.8,23114.0,20.5
8,1017,AL,Chambers County,6.0,5.0,6.0,5.0,67.4,23.8,4.6,4.2,54.6,28.3,9.7,7.4,45.7,28.5,16.9,8.9,35.8,32.1,22.5,9.5,22.53054027958524,37.29902187145795,27.95012803828555,12.220309810671257,0.0,34052,12.345135987,14.397771424,0.9969943553,-2.287222344,15305.0,6.7,34116.0,79.5,7170.0,21.3
9,1019,AL,Cherokee County,8.0,6.0,6.0,6.0,69.8,21.4,5.0,3.8,56.8,28.1,8.8,6.3,46.5,31.6,15.2,6.7,36.5,34.9,18.9,9.7,20.504094437945337,35.87684781452728,29.884079549080077,13.734978198447303,0.0,25995,10.023233933,12.634651203,0.3072255612,-0.07680639,11388.0,5.8,38013.0,88.6,4768.0,18.6
